Location,0-24,25-34,35-44,45-54,55+,Total
United States,3165,8568,7484,7595,6277,33091
Alabama,25,75,74,72,36,282
Alaska,16,24,13,15,18,86
Arizona,79,149,148,147,148,671
Arkansas,18,35,59,52,39,203
California,179,390,342,447,660,2018
Colorado,43,148,98,94,112,495
Connecticut,63,168,146,176,132,685
Delaware,12,43,29,33,16,133
District of Columbia,NSD,NSD,10,35,45,98
Florida,160,475,442,384,376,1838
Georgia,94,252,189,171,152,858
Hawaii,NSD,NSD,12,10,28,62
Idaho,11,17,28,22,12,90
Illinois,156,332,324,315,254,1381
Indiana,69,172,117,106,71,535
Iowa,16,34,44,41,35,170
Kansas,NSD,NSD,NSD,NSD,NSD,150
Kentucky,58,231,248,229,119,885
Louisiana,23,75,78,57,54,287
Maine,17,68,58,60,35,238
Maryland,87,267,238,286,209,1087
Massachusetts,154,494,384,344,174,1550
Michigan,123,343,285,305,253,1309
Minnesota,34,87,73,71,73,338
Mississippi,NSD,48,35,38,24,150
Missouri,84,176,151,150,131,692
Montana,NSD,10,13,14,NSD,48
Nebraska,NSD,NSD,NSD,NSD,NSD,55
Nevada,34,81,75,96,133,419
New Hampshire,41,129,99,73,38,380
New Jersey,105,251,178,210,118,862
New Mexico,32,82,84,89,64,351
New York,245,593,447,512,368,2166
North Carolina,109,288,278,313,183,1171
North Dakota,NSD,10,NSD,NSD,NSD,34
Ohio,241,783,711,569,394,2698
Oklahoma,26,86,93,114,108,427
Oregon,23,71,66,77,94,331
Pennsylvania,168,438,301,265,190,1362
Rhode Island,23,72,46,55,58,254
South Carolina,33,131,118,141,131,554
South Dakota,NSD,NSD,NSD,NSD,NSD,27
Tennessee,71,205,260,297,205,1038
Texas,169,329,235,275,279,1287
Utah,39,113,112,82,102,448
Vermont,NSD,NSD,NSD,NSD,NSD,79
Virginia,91,230,213,171,115,820
Washington,53,158,122,177,182,692
West Virginia,42,125,178,171,113,629
Wisconsin,52,172,136,150,112,622
Wyoming,NSD,11,11,NSD,12,46
