Location,0-24,25-34,35-44,45-54,55+,Total
United States,4173,13181,11149,10207,8877,47600
Alabama,31,122,101,96,72,422
Alaska,NSD,NSD,NSD,NSD,NSD,102
Arizona,118,221,185,176,228,928
Arkansas,20,53,38,39,38,188
California,208,536,380,402,671,2199
Colorado,57,173,130,93,124,578
Connecticut,90,261,230,210,164,955
Delaware,25,65,63,59,38,250
District of Columbia,NSD,NSD,NSD,NSD,NSD,244
Florida,217,947,840,653,587,3245
Georgia,100,279,232,222,181,1014
Hawaii,NSD,NSD,NSD,NSD,27,53
Idaho,NSD,NSD,NSD,NSD,NSD,103
Illinois,181,561,485,533,442,2202
Indiana,115,367,306,228,160,1176
Iowa,28,41,41,57,39,206
Kansas,17,21,31,35,40,144
Kentucky,76,303,353,278,150,1160
Louisiana,26,112,119,93,65,415
Maine,23,115,96,79,46,360
Maryland,142,534,417,471,421,1985
Massachusetts,132,587,466,432,296,1913
Michigan,162,572,455,432,412,2033
Minnesota,57,110,84,99,72,422
Mississippi,12,44,44,47,38,185
Missouri,104,279,256,162,151,952
Montana,NSD,11,NSD,NSD,12,38
Nebraska,NSD,NSD,NSD,NSD,NSD,59
Nevada,39,73,74,103,123,412
New Hampshire,40,147,95,94,48,424
New Jersey,193,541,419,480,334,1969
New Mexico,26,93,76,69,68,332
New York,270,907,702,738,606,3224
North Carolina,215,589,479,413,257,1953
North Dakota,NSD,10,NSD,NSD,NSD,35
Ohio,336,1263,1136,894,664,4293
Oklahoma,25,73,93,100,97,388
Oregon,40,76,71,60,97,344
Pennsylvania,272,819,636,463,353,2548
Rhode Island,16,73,70,68,50,277
South Carolina,64,193,174,180,138,749
South Dakota,NSD,10,NSD,NSD,11,35
Tennessee,105,303,307,306,248,1269
Texas,175,387,301,288,307,1458
Utah,43,117,109,80,107,456
Vermont,15,37,28,16,18,114
Virginia,103,366,308,269,195,1241
Washington,68,190,128,168,188,742
West Virginia,51,212,240,187,143,833
Wisconsin,91,281,223,175,156,926
Wyoming,NSD,NSD,12,15,NSD,47
